Indicador,Entidad,Year,Numhab
Between 15 and 59 years,Tabasco,2010,1376169
Between 15 and 59 years,Tamaulipas,2010,1979133
Between 15 and 59 years,Tlaxcala,2010,708230
Between 15 and 59 years,Veracruz de Ignacio de la Llave,2010,4617099
Between 15 and 59 years,Yucatan,2010,1211587
Between 15 and 59 years,Zacatecas,2010,869327
More than 60 years,Nacional,2010,10055379
More than 60 years,Aguascalientes,2010,89605
More than 60 years,Baja California,2010,215854
More than 60 years,Baja California Sur,2010,42114
More than 60 years,Campeche,2010,67879
More than 60 years,Coahuila de Zaragoza,2010,233944
More than 60 years,Colima,2010,58728
More than 60 years,Chiapas,2010,345481
More than 60 years,Chihuahua,2010,282725
More than 60 years,Distrito Federal,2010,1003648
More than 60 years,Durango,2010,149681
More than 60 years,Guanajuato,2010,471931
More than 60 years,Guerrero,2010,323468
More than 60 years,Hidalgo,2010,250715
More than 60 years,Jalisco,2010,671323
More than 60 years,Mexico,2010,1137647
More than 60 years,Michoacan de Ocampo,2010,439127
More than 60 years,Morelos,2010,177878
More than 60 years,Nayarit,2010,109391
More than 60 years,Nuevo Leon,2010,407278
More than 60 years,Oaxaca,2010,406169
More than 60 years,Puebla,2010,514436
More than 60 years,Queretaro,2010,136381
More than 60 years,Quintana Roo,2010,63965
More than 60 years,San Luis Potosi,2010,257976
More than 60 years,Sinaloa,2010,266725
More than 60 years,Sonora,2010,232874
More than 60 years,Tabasco,2010,167927
More than 60 years,Tamaulipas,2010,285097
More than 60 years,Tlaxcala,2010,98229
More than 60 years,Veracruz de Ignacio de la Llave,2010,798557
More than 60 years,Yucatan,2010,196474
More than 60 years,Zacatecas,2010,152152
